
09:01:44: Estimation covidDatapol new_cases MAPE:0.1; epoch:0
09:05:15: Estimation covidDatapol new_cases MAPE:0.1; epoch:0
09:11:26: Estimation covidDatapol new_cases MAPE:0.1; epoch:0
09:12:11: Estimation covidDatapol new_cases MAPE:0.1; epoch:0
09:13:56: Estimation covidDatapol new_cases MAPE:0.1; epoch:0
09:17:41: Estimation covidDatapol new_cases MAPE:0.22133118384962555; epoch:2
09:26:46: Estimation covidDatapol new_cases MAPE:0.22842026241521893; epoch:2
09:47:28: Estimation covidDatapol new_cases MAPE:0.2277422772241256; epoch:2
20:53:04: Estimation covidDatapol new_cases MAPE:0.23202941440576605; epoch:28
21:10:05: Estimation covidDataukr new_cases MAPE:0.2061740727234222; epoch:22
22:32:22: Estimation covidDatapol new_cases MAPE:0.23022274744994703; epoch:25
22:49:20: Estimation covidDataukr new_cases MAPE:0.20701689670985565; epoch:7
19:56:10: Estimation covidDatapol new_cases MAPE:0.22937940575426946; epoch:2
19:56:19: Estimation covidDataukr new_cases MAPE:0.223611140164707; epoch:2
20:12:16: Estimation covidDatapol new_cases MAPE:0.23006440500246492; epoch:2
21:12:30: Estimation covidDatapol new_cases MAPE:0.22366715139129517; epoch:2
21:21:53: Estimation covidDatapol new_cases MAPE:0.2288369170438546; epoch:2
21:25:44: Estimation covidDatapol new_cases MAPE:0.22781569128117815; epoch:2
21:26:20: Estimation covidDatapol new_cases MAPE:0.23223945032709967; epoch:2
21:26:49: Estimation covidDatapol new_cases MAPE:0.22643230601125888; epoch:2
21:26:58: Estimation covidDataukr new_cases MAPE:0.23457285300602257; epoch:2
21:28:30: Estimation covidDatapol new_cases MAPE:0.22667460650135476; epoch:2
21:28:38: Estimation covidDataukr new_cases MAPE:0.22653471551309817; epoch:2
21:34:09: Estimation covidDatapol new_cases MAPE:0.22733890162354636; epoch:2
21:34:18: Estimation covidDataukr new_cases MAPE:0.2246111374503412; epoch:2
22:44:36: Estimation covidDatapol new_cases MAPE:0.0831977565127048; epoch:2
23:02:22: Estimation covidDatapol new_cases MAPE:0.04754817732973032; epoch:4
23:03:14: Estimation covidDatapol new_cases MAPE:0.11648056399884466; epoch:2
23:04:25: Estimation covidDatapol new_cases MAPE:0.15247873170192108; epoch:2
23:07:39: Estimation covidDatapol new_cases MAPE:0.07415028399276255; epoch:2
23:08:44: Estimation covidDatapol new_cases MAPE:0.06724207808856006; epoch:2
23:09:43: Estimation covidDatapol new_cases MAPE:0.10736069809010829; epoch:2
23:09:52: Estimation covidDataukr new_cases MAPE:0.11521161994450677; epoch:2
23:12:27: Estimation covidDatapol new_cases MAPE:0.06407949388568834; epoch:2
23:12:36: Estimation covidDataukr new_cases MAPE:0.12937636914456774; epoch:2
23:14:54: Estimation covidDatapol new_cases MAPE:0.07843884000267204; epoch:2
23:15:03: Estimation covidDataukr new_cases MAPE:0.1097435945811437; epoch:2
23:34:51: Estimation covidDatapol new_cases MAPE:0.06073022616865321; epoch:20
23:52:22: Estimation covidDataukr new_cases MAPE:0.03655143416192435; epoch:14
