date,total_cases,new_cases,total_cases_per_million,new_cases_per_million,stringency_index,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,total_deaths,new_deaths,total_deaths_per_million,new_deaths_per_million,reproduction_rate,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,total_tests,total_tests_per_thousand,tests_units,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
2020-03-03,1,1,0.023,0.023,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-04,1,0,0.023,0,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-05,1,0,0.023,0,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-06,1,0,0.023,0,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-07,1,0,0.023,0,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-08,1,0,0.023,0,11.11,0.143,,0.003,,,,,,,,,,,,,,,,,,
2020-03-09,1,0,0.023,0,11.11,0.143,,0.003,,,,,,,,,,,,,,,,,,
2020-03-10,1,0,0.023,0,11.11,0,,0,,,,,,,,,,,,,,,,,,
2020-03-11,1,0,0.023,0,11.11,0,,0,,,,,,,,,,,,,,,,,,
2020-03-12,1,0,0.023,0,50,0,,0,,,,,,,,,,,,,,,,,,
2020-03-13,3,2,0.069,0.046,50,0.286,,0.007,,1,1,0.023,0.023,,,,,,,,,,,,,
2020-03-14,3,0,0.069,0,50,0.286,,0.007,,1,0,0.023,0,,,,,,,,,,,,,
2020-03-15,3,0,0.069,0,50,0.286,,0.007,,1,0,0.023,0,,,,,,,,,,,,,
2020-03-16,7,4,0.161,0.092,64.81,0.857,,0.02,,1,0,0.023,0,,,,,,,,,,,,,
2020-03-17,14,7,0.322,0.161,77.78,1.857,,0.043,,2,1,0.046,0.023,,,,,,,,,,,,,
2020-03-18,14,0,0.322,0,88.89,1.857,0.286,0.043,0.007,2,0,0.046,0,,,,,,,,,,,,,
2020-03-19,16,2,0.368,0.046,88.89,2.143,0.286,0.049,0.007,2,0,0.046,0,,,,,,,,,,,,,
2020-03-20,29,13,0.666,0.299,88.89,3.714,0.286,0.085,0.007,3,1,0.069,0.023,,,,,,,,,,,,,
2020-03-21,47,18,1.08,0.413,88.89,6.286,0.286,0.144,0.007,3,0,0.069,0,,,,,,,,,,,,,
2020-03-22,73,26,1.677,0.597,88.89,10,0.286,0.23,0.007,3,0,0.069,0,,,,,,,,,,,,,
2020-03-23,73,0,1.677,0,88.89,9.429,0.286,0.217,0.007,3,0,0.069,0,,,,,,,,,,,,,
2020-03-24,97,24,2.228,0.551,88.89,11.857,0.143,0.272,0.003,3,0,0.069,0,,,,,,,,,,,,,
2020-03-25,145,48,3.331,1.103,88.89,18.714,0.429,0.43,0.01,5,2,0.115,0.046,,,,,,,,,,,,,
2020-03-26,196,51,4.502,1.172,88.89,25.714,0.429,0.591,0.01,5,0,0.115,0,2.44,,,,,,,,,,,,
2020-03-27,310,114,7.121,2.619,88.89,40.143,0.286,0.922,0.007,5,0,0.115,0,2.42,,,,,,,,,,,,
2020-03-28,356,46,8.178,1.057,88.89,44.143,0.857,1.014,0.02,9,4,0.207,0.092,2.35,,,,,,,,,,,,
2020-03-29,475,119,10.912,2.734,88.89,57.429,1,1.319,0.023,10,1,0.23,0.023,2.29,,,,,,,,,,,,
2020-03-30,548,73,12.589,1.677,88.89,67.857,1.429,1.559,0.033,13,3,0.299,0.069,2.19,,,,,,,,,,,,
2020-03-31,645,97,14.817,2.228,88.89,78.286,2,1.798,0.046,17,4,0.391,0.092,2.07,-6728,-4.32,-6.17,,,,,,,,,
2020-04-01,794,149,18.24,3.423,88.89,92.714,2.143,2.13,0.049,20,3,0.459,0.069,1.94,,,,,,,,,,,,
2020-04-02,897,103,20.606,2.366,88.89,100.143,2.429,2.3,0.056,22,2,0.505,0.046,1.81,,,,,,,,,,,,
2020-04-03,1072,175,24.626,4.02,88.89,108.857,3.143,2.501,0.072,27,5,0.62,0.115,1.72,,,,,,,,,,,,
2020-04-04,1225,153,28.141,3.515,88.89,124.143,3.286,2.852,0.075,32,5,0.735,0.115,1.66,,,,,,,,,,,,
2020-04-05,1308,83,30.047,1.907,88.89,119,3.857,2.734,0.089,37,5,0.85,0.115,1.6,,,,,,,,,,,,
2020-04-06,1319,11,30.3,0.253,88.89,110.143,3.571,2.53,0.082,38,1,0.873,0.023,1.6,,,,,,,,,,,,
2020-04-07,1462,143,33.585,3.285,88.89,116.714,4,2.681,0.092,45,7,1.034,0.161,1.66,,,,,,,,,,,,
2020-04-08,1668,206,38.317,4.732,88.89,124.857,4.571,2.868,0.105,52,7,1.195,0.161,1.71,,,,,,,,,,,,
2020-04-09,1892,224,43.463,5.146,88.89,142.143,5,3.265,0.115,57,5,1.309,0.115,1.75,,,,20608,0.474,tests performed,,,,,,
2020-04-10,2203,311,50.607,7.144,88.89,161.571,6,3.712,0.138,69,12,1.585,0.276,1.78,,,,23522,0.541,tests performed,2914,0.067,,,,
2020-04-11,2511,308,57.682,7.075,88.89,183.714,5.857,4.22,0.135,73,4,1.677,0.092,1.78,,,,,,tests performed,,,,,,
2020-04-12,2777,266,63.793,6.111,88.89,209.857,6.571,4.821,0.151,83,10,1.907,0.23,1.77,,,,,,tests performed,,,,,,
2020-04-13,3102,325,71.259,7.466,88.89,254.714,7.857,5.851,0.18,93,10,2.136,0.23,1.74,,,,35153,0.809,tests performed,,,,,,
2020-04-14,3372,270,77.461,6.202,88.89,272.857,7.571,6.268,0.174,98,5,2.251,0.115,1.67,,,,,,tests performed,,,,,,
2020-04-15,3764,392,86.466,9.005,88.89,299.429,8,6.878,0.184,108,10,2.481,0.23,1.6,,,,,,tests performed,,,,,,
2020-04-16,4161,397,95.586,9.12,88.89,324.143,8.429,7.446,0.194,116,8,2.665,0.184,1.55,,,,42823,0.985,tests performed,,,3174,0.073,0.1021,9.8
2020-04-17,4662,501,107.095,11.509,88.89,351.286,8,8.07,0.184,125,9,2.871,0.207,1.5,,,,47096,1.083,tests performed,4273,0.098,3368,0.077,0.1043,9.6
2020-04-18,5106,444,117.295,10.2,88.89,370.714,8.571,8.516,0.197,133,8,3.055,0.184,1.45,,,,,,tests performed,,,3529,0.081,0.105,9.5
2020-04-19,5449,343,125.174,7.879,88.89,381.714,8.286,8.769,0.19,141,8,3.239,0.184,1.4,,,,57111,1.314,tests performed,,,3691,0.085,0.1034,9.7
2020-04-20,5710,261,131.17,5.996,88.89,372.571,8.286,8.559,0.19,151,10,3.469,0.23,1.37,,,,,,tests performed,,,3679,0.085,0.1013,9.9
2020-04-21,6125,415,140.703,9.533,88.89,393.286,9,9.035,0.207,161,10,3.698,0.23,1.35,,,,,,tests performed,,,3856,0.089,0.102,9.8
2020-04-22,6592,467,151.431,10.728,88.89,404,9.429,9.281,0.217,174,13,3.997,0.299,1.32,,,,,,tests performed,,,4033,0.093,0.1002,10
2020-04-23,7170,578,164.709,13.278,88.89,429.857,10.143,9.875,0.233,187,13,4.296,0.299,1.29,,,,72296,1.663,tests performed,,,4210,0.097,0.1021,9.8
2020-04-24,7647,477,175.666,10.958,88.89,426.429,10.857,9.796,0.249,201,14,4.617,0.322,1.25,,,,,,tests performed,,,4413,0.102,0.0966,10.3
2020-04-25,8125,478,186.647,10.981,88.89,431.286,9.714,9.907,0.223,201,0,4.617,0,1.22,,,,,,tests performed,,,4511,0.104,0.0956,10.5
2020-04-26,8617,492,197.949,11.302,88.89,452.571,9.714,10.396,0.223,209,8,4.801,0.184,1.2,,,,89373,2.056,tests performed,,,4609,0.106,0.0982,10.2
2020-04-27,9009,392,206.954,9.005,88.89,471.286,9.857,10.826,0.226,220,11,5.054,0.253,1.18,,,,93519,2.152,tests performed,4146,0.095,4659,0.107,0.1012,9.9
2020-04-28,9410,401,216.166,9.212,88.89,469.286,11.143,10.78,0.256,239,19,5.49,0.436,1.15,,,,98719,2.271,tests performed,5200,0.12,4859,0.112,0.0966,10.4
2020-04-29,9866,456,226.641,10.475,88.89,467.714,10.857,10.744,0.249,250,11,5.743,0.253,1.12,,,,104544,2.405,tests performed,5825,0.134,5149,0.118,0.0908,11
2020-04-30,10406,540,239.046,12.405,88.89,462.286,10.571,10.62,0.243,261,11,5.996,0.253,1.11,-9025.8,-4.42,-4.74,111859,2.573,tests performed,7315,0.168,5652,0.13,0.0818,12.2
2020-05-01,10861,455,249.498,10.452,88.89,459.143,10.143,10.547,0.233,272,11,6.248,0.253,1.09,,,,118545,2.727,tests performed,6686,0.154,5794,0.133,0.0792,12.6
2020-05-02,11411,550,262.132,12.635,88.89,469.429,11.143,10.784,0.256,279,7,6.409,0.161,1.09,,,,122752,2.824,tests performed,4207,0.097,5582,0.128,0.0841,11.9
