date,total_cases,new_cases,total_cases_per_million,new_cases_per_million,stringency_index,total_deaths,new_deaths,total_deaths_per_million,new_deaths_per_million,population_millions,refugees
3/4/2020,1,1,0.026,0.026,11.11,,,,,38.46153846,0
3/5/2020,1,0,0.026,0,11.11,,,,,38.46153846,0
3/6/2020,5,4,0.132,0.106,11.11,,,,,37.87878788,0
3/7/2020,5,0,0.132,0,11.11,,,,,37.87878788,0
3/8/2020,11,6,0.291,0.159,11.11,,,,,37.80068729,0
3/9/2020,16,5,0.423,0.132,13.89,,,,,37.8250591,0
3/11/2020,31,9,0.82,0.238,25,,,,,37.80487805,0
3/12/2020,49,18,1.296,0.476,41.67,1,1,0.026,0.026,37.80864198,0
3/13/2020,68,19,1.799,0.503,41.67,2,1,0.053,0.026,37.7987771,0
3/14/2020,103,35,2.725,0.926,49.07,3,1,0.079,0.026,37.79816514,0
3/15/2020,119,16,3.148,0.423,57.41,3,0,0.079,0,37.80177891,0
3/16/2020,177,58,4.683,1.535,57.41,4,1,0.106,0.026,37.79628443,0
3/17/2020,238,61,6.297,1.614,57.41,5,1,0.132,0.026,37.79577577,0
3/18/2020,251,13,6.641,0.344,57.41,5,0,0.132,0,37.79551272,0
3/19/2020,355,104,9.392,2.752,57.41,5,0,0.132,0,37.79812606,0
3/20/2020,425,70,11.244,1.852,57.41,5,0,0.132,0,37.79793668,0
3/21/2020,536,111,14.181,2.937,57.41,5,0,0.132,0,37.79705239,0
3/22/2020,634,98,16.774,2.593,57.41,7,2,0.185,0.053,37.79658996,0
3/23/2020,749,115,19.816,3.043,57.41,8,1,0.212,0.026,37.7977392,0
3/24/2020,901,152,23.838,4.021,57.41,10,2,0.265,0.053,37.79679503,0
3/25/2020,1051,150,27.806,3.969,57.41,14,4,0.37,0.106,37.79759764,0
3/26/2020,1221,170,32.304,4.498,57.41,16,2,0.423,0.053,37.79717682,0
3/27/2020,1389,168,36.749,4.445,57.41,16,0,0.423,0,37.79694686,0
3/28/2020,1638,249,43.337,6.588,57.41,18,2,0.476,0.053,37.79680181,0
3/29/2020,1862,224,49.263,5.926,57.41,22,4,0.582,0.106,37.79712969,0
3/30/2020,2055,193,54.369,5.106,57.41,31,9,0.82,0.238,37.79727418,0
3/31/2020,2311,256,61.142,6.773,81.48,33,2,0.873,0.053,37.79725884,0
4/1/2020,2554,243,67.572,6.429,81.48,43,10,1.138,0.265,37.79672054,0
4/2/2020,2946,392,77.943,10.371,81.48,57,14,1.508,0.37,37.79685155,0
4/3/2020,3383,437,89.504,11.562,81.48,71,14,1.878,0.37,37.79719342,0
4/4/2020,3627,244,95.96,6.456,81.48,79,8,2.09,0.212,37.79699875,0
4/5/2020,4102,475,108.527,12.567,81.48,94,15,2.487,0.397,37.7970459,0
4/6/2020,4413,311,116.755,8.228,81.48,107,13,2.831,0.344,37.79709648,0
4/7/2020,4848,435,128.264,11.509,81.48,129,22,3.413,0.582,37.7970436,0
4/8/2020,5205,357,137.709,9.445,81.48,159,30,4.207,0.794,37.79709387,0
4/9/2020,5575,370,147.498,9.789,87.04,174,15,4.604,0.397,37.79712267,0
4/10/2020,5955,380,157.552,10.054,87.04,181,7,4.789,0.185,37.79704479,0
4/11/2020,6356,401,168.161,10.609,87.04,208,27,5.503,0.714,37.7971111,0
4/12/2020,6674,318,176.575,8.413,87.04,232,24,6.138,0.635,37.79697013,0
4/13/2020,6934,260,183.454,6.879,87.04,245,13,6.482,0.344,37.79694092,0
4/14/2020,7202,268,190.544,7.091,87.04,263,18,6.958,0.476,37.79704425,0
4/15/2020,7582,380,200.598,10.054,87.04,286,23,7.567,0.609,37.79698701,0
4/16/2020,7918,336,209.488,8.89,87.04,314,28,8.308,0.741,37.79691438,0
4/17/2020,8379,461,221.684,12.197,87.04,332,18,8.784,0.476,37.79704444,0
4/18/2020,8742,363,231.288,9.604,87.04,347,15,9.181,0.397,37.79703227,0
