date,new_cases,Cumulative_cases,new_deaths,Cumulative_deaths
3/4/2020,1,1,0,0
3/5/2020,0,1,0,0
3/6/2020,0,1,0,0
3/7/2020,4,5,0,0
3/8/2020,1,6,0,0
3/9/2020,5,11,0,0
3/10/2020,6,17,0,0
3/11/2020,5,22,0,0
3/12/2020,9,31,0,0
3/13/2020,18,49,1,1
3/14/2020,19,68,1,2
3/15/2020,36,104,1,3
3/16/2020,21,125,0,3
3/17/2020,52,177,1,4
3/18/2020,61,238,1,5
3/19/2020,49,287,0,5
3/20/2020,68,355,0,5
3/21/2020,70,425,0,5
3/22/2020,111,536,0,5
3/23/2020,98,634,2,7
3/24/2020,115,749,1,8
3/25/2020,152,901,2,10
3/26/2020,150,1051,4,14
3/27/2020,170,1221,2,16
3/28/2020,168,1389,0,16
3/29/2020,249,1638,2,18
3/30/2020,224,1862,4,22
3/31/2020,193,2055,9,31
4/1/2020,256,2311,2,33
4/2/2020,243,2554,10,43
4/3/2020,392,2946,14,57
4/4/2020,437,3383,14,71
4/5/2020,244,3627,8,79
4/6/2020,475,4102,15,94
4/7/2020,311,4413,13,107
4/8/2020,435,4848,22,129
4/9/2020,357,5205,30,159
4/10/2020,370,5575,15,174
4/11/2020,380,5955,7,181
4/12/2020,401,6356,27,208
4/13/2020,318,6674,24,232
4/14/2020,260,6934,13,245
4/15/2020,268,7202,18,263
4/16/2020,380,7582,23,286
4/17/2020,336,7918,28,314
4/18/2020,461,8379,18,332
4/19/2020,363,8742,15,347
4/20/2020,545,9287,13,360
4/21/2020,306,9593,20,380
4/22/2020,263,9856,21,401
4/23/2020,313,10169,25,426
4/24/2020,342,10511,28,454
4/25/2020,381,10892,40,494
4/26/2020,381,11273,30,524
4/27/2020,344,11617,11,535
4/28/2020,285,11902,27,562
4/29/2020,316,12218,34,596
4/30/2020,422,12640,28,624
5/1/2020,237,12877,20,644
5/2/2020,228,13105,7,651
5/3/2020,270,13375,13,664
5/4/2020,318,13693,14,678
5/5/2020,313,14006,20,698
5/6/2020,425,14431,18,716
5/7/2020,309,14740,17,733
5/8/2020,307,15047,22,755
5/9/2020,319,15366,21,776
5/10/2020,285,15651,9,785
5/11/2020,345,15996,15,800
5/12/2020,330,16326,11,811
5/13/2020,595,16921,28,839
5/14/2020,283,17204,22,861
5/15/2020,411,17615,22,883
5/16/2020,401,18016,24,907
5/17/2020,241,18257,8,915
5/18/2020,272,18529,10,925
5/19/2020,356,18885,11,936
5/20/2020,383,19268,12,948
5/21/2020,471,19739,14,962
5/22/2020,404,20143,10,972
5/23/2020,476,20619,10,982
5/24/2020,312,20931,11,993
5/25/2020,395,21326,3,996
5/26/2020,305,21631,11,1007
5/27/2020,443,22074,17,1024
5/28/2020,399,22473,4,1028
5/29/2020,352,22825,10,1038
5/30/2020,330,23155,13,1051
5/31/2020,416,23571,10,1061
6/1/2020,215,23786,3,1064
6/2/2020,379,24165,10,1074
6/3/2020,230,24395,18,1092
6/4/2020,292,24687,23,1115
6/5/2020,361,25048,2,1117
6/6/2020,371,25419,20,1137
6/7/2020,567,25986,16,1153
6/8/2020,575,26561,4,1157
6/9/2020,599,27160,9,1166
6/10/2020,400,27560,17,1183
6/11/2020,197,27757,23,1206
6/12/2020,444,28201,9,1215
6/13/2020,376,28577,7,1222
6/14/2020,440,29017,15,1237
6/15/2020,375,29392,10,1247
6/16/2020,396,29788,9,1256
6/17/2020,407,30195,16,1272
6/18/2020,506,30701,14,1286
6/19/2020,314,31015,30,1316
6/20/2020,301,31316,18,1334
6/21/2020,304,31620,12,1346
6/22/2020,311,31931,10,1356
6/23/2020,296,32227,3,1359
6/24/2020,300,32527,16,1375
6/25/2020,294,32821,21,1396
6/26/2020,298,33119,16,1412
6/27/2020,276,33395,17,1429
6/28/2020,319,33714,6,1435
6/29/2020,193,33907,3,1438
6/30/2020,247,34154,6,1444
7/1/2020,239,34393,19,1463
7/2/2020,382,34775,14,1477
7/3/2020,371,35146,15,1492
7/4/2020,259,35405,15,1507
7/5/2020,314,35719,5,1512
7/6/2020,231,35950,5,1517
7/7/2020,205,36155,4,1521
7/8/2020,257,36412,7,1528
7/9/2020,277,36689,14,1542
7/10/2020,262,36951,9,1551
7/11/2020,265,37216,11,1562
7/12/2020,305,37521,6,1568
7/13/2020,370,37891,3,1571
7/14/2020,299,38190,5,1576
7/15/2020,267,38457,12,1588
7/16/2020,323,38780,6,1594
7/17/2020,274,39054,11,1605
7/18/2020,353,39407,7,1612
7/19/2020,339,39746,6,1618
7/20/2020,358,40104,6,1624
7/21/2020,279,40383,3,1627
7/22/2020,399,40782,9,1636
7/23/2020,380,41162,6,1642
7/24/2020,418,41580,9,1651
7/25/2020,458,42038,4,1655
7/26/2020,584,42622,9,1664
7/27/2020,443,43065,7,1671
7/28/2020,337,43402,5,1676
7/29/2020,502,43904,6,1682
7/30/2020,512,44416,12,1694
7/31/2020,615,45031,15,1709
8/1/2020,657,45688,7,1716
8/2/2020,658,46346,5,1721
8/3/2020,548,46894,10,1731
8/4/2020,575,47469,1,1732
8/5/2020,680,48149,6,1738
8/6/2020,640,48789,18,1756
8/7/2020,726,49515,18,1774
8/8/2020,809,50324,13,1787
8/9/2020,843,51167,13,1800
8/10/2020,624,51791,7,1807
8/11/2020,619,52410,2,1809
8/12/2020,551,52961,12,1821
8/13/2020,715,53676,9,1830
8/14/2020,811,54487,14,1844
8/15/2020,832,55319,14,1858
8/16/2020,771,56090,11,1869
8/17/2020,594,56684,8,1877
8/18/2020,595,57279,8,1885
8/19/2020,597,57876,11,1896
8/20/2020,735,58611,17,1913
8/21/2020,767,59378,12,1925
8/22/2020,903,60281,13,1938
8/23/2020,900,61181,13,1951
8/24/2020,581,61762,4,1955
8/25/2020,548,62310,5,1960
8/26/2020,763,63073,17,1977
8/27/2020,729,63802,17,1994
8/28/2020,887,64689,16,2010
8/29/2020,791,65480,8,2018
8/30/2020,759,66239,14,2032
8/31/2020,631,66870,1,2033
9/1/2020,502,67372,6,2039
9/2/2020,550,67922,19,2058
9/3/2020,595,68517,20,2078
9/4/2020,612,69129,14,2092
9/5/2020,691,69820,8,2100
9/6/2020,567,70387,13,2113
9/7/2020,437,70824,7,2120
9/8/2020,302,71126,4,2124
9/9/2020,400,71526,12,2136
9/10/2020,421,71947,11,2147
9/11/2020,506,72453,12,2159
9/12/2020,594,73047,10,2169
9/13/2020,603,73650,13,2182
9/14/2020,502,74152,6,2188
9/15/2020,377,74529,15,2203
9/16/2020,605,75134,24,2227
9/17/2020,600,75734,10,2237
9/18/2020,837,76571,16,2253
9/19/2020,757,77328,17,2270
9/20/2020,1002,78330,12,2282
9/21/2020,910,79240,11,2293
9/22/2020,748,79988,5,2298
9/23/2020,711,80699,18,2316
9/24/2020,974,81673,28,2344
9/25/2020,1136,82809,25,2369
9/26/2020,1587,84396,23,2392
9/27/2020,1584,85980,32,2424
9/28/2020,1350,87330,8,2432
9/29/2020,1306,88636,15,2447
9/30/2020,1326,89962,36,2483
10/1/2020,1552,91514,30,2513
10/2/2020,1967,93481,30,2543
10/3/2020,2292,95773,27,2570
10/4/2020,2367,98140,34,2604
10/5/2020,0,98140,0,2604
10/6/2020,3940,102080,55,2659
10/7/2020,2236,104316,58,2717
10/8/2020,3003,107319,75,2792
10/9/2020,4280,111599,75,2867
10/10/2020,4739,116338,52,2919
10/11/2020,5300,121638,53,2972
10/12/2020,4178,125816,32,3004
10/13/2020,4394,130210,35,3039
10/14/2020,5068,135278,62,3101
10/15/2020,6526,141804,116,3217
10/16/2020,8099,149903,91,3308
10/17/2020,7705,157608,132,3440
10/18/2020,9622,167230,84,3524
10/19/2020,8536,175766,49,3573
10/20/2020,7482,183248,41,3614
10/21/2020,9291,192539,107,3721
10/22/2020,10040,202579,130,3851
10/23/2020,12107,214686,168,4019
10/24/2020,13632,228318,153,4172
10/25/2020,13628,241946,179,4351
10/26/2020,11742,253688,87,4438
10/27/2020,10241,263929,45,4483
10/28/2020,16300,280229,132,4615
10/29/2020,18820,299049,236,4851
10/30/2020,20156,319205,298,5149
10/31/2020,23629,342834,202,5351
11/1/2020,23897,366731,280,5631
11/2/2020,19171,385902,152,5783
11/3/2020,17578,403480,92,5875
11/4/2020,21364,424844,227,6102
11/5/2020,26692,451536,373,6475
11/6/2020,29143,480679,367,6842
11/7/2020,29086,509765,445,7287
11/8/2020,29875,539640,349,7636
11/9/2020,26785,566425,236,7872
11/10/2020,23713,590138,173,8045
11/11/2020,27454,617592,330,8375
11/12/2020,27221,644813,430,8805
11/13/2020,24683,669496,275,9080
11/14/2020,26051,695547,419,9499
11/15/2020,27571,723118,546,10045
11/16/2020,23854,746972,303,10348
11/17/2020,24745,771717,330,10678
11/18/2020,21152,792869,357,11035
11/19/2020,20406,813275,603,11638
11/20/2020,23975,837250,637,12275
11/21/2020,22464,859714,626,12901
11/22/2020,24213,883927,574,13475
11/23/2020,17856,901783,330,13805
11/24/2020,10141,911924,540,14345
11/25/2020,15360,927284,674,15019
11/26/2020,16846,944130,580,15599
11/27/2020,17059,961189,579,16178
11/28/2020,15183,976372,599,16777
11/29/2020,11483,987855,283,17060
11/30/2020,5734,993589,121,17181
12/1/2020,9066,1002655,449,17630
12/2/2020,13870,1016525,609,18239
12/3/2020,14838,1031363,620,18859
12/4/2020,13230,1044593,531,19390
12/5/2020,12430,1057023,502,19892
12/6/2020,9175,1066198,228,20120
12/7/2020,4424,1070622,92,20212
12/8/2020,8315,1078937,411,20623
12/9/2020,12164,1091101,568,21191
12/10/2020,13747,1104848,470,21661
12/11/2020,13105,1117953,544,22205
12/12/2020,11498,1129451,502,22707
12/13/2020,8978,1138429,188,22895
12/14/2020,4858,1143287,96,22991
12/15/2020,6908,1150195,349,23340
12/16/2020,12447,1162642,605,23945
12/17/2020,11953,1174595,431,24376
12/18/2020,10992,1185587,426,24802
12/19/2020,11261,1196848,483,25285
12/20/2020,8593,1205441,143,25428
12/21/2020,4633,1210074,77,25505
12/22/2020,7190,1217264,309,25814
12/23/2020,12363,1229627,472,26286
12/24/2020,13114,1242741,552,26838
12/25/2020,9077,1251818,244,27082
12/26/2020,5048,1256866,68,27150
12/27/2020,3678,1260544,56,27206
12/28/2020,3211,1263755,27,27233
12/29/2020,7914,1271669,311,27544
12/30/2020,12955,1284624,565,28109
12/31/2020,13397,1298021,532,28641
1/1/2021,11008,1309029,400,29041
1/2/2021,6945,1315974,102,29143
1/3/2021,5739,1321713,61,29204
1/4/2021,4432,1326145,42,29246
1/5/2021,7624,1333769,341,29587
1/6/2021,14151,1347920,553,30140
1/7/2021,12054,1359974,186,30326
1/8/2021,8790,1368764,332,30658
1/9/2021,10548,1379312,438,31096
1/10/2021,9410,1388722,177,31273
1/11/2021,4622,1393344,75,31348
1/12/2021,5569,1398913,326,31674
1/13/2021,9053,1407966,481,32155
1/14/2021,9436,1417402,381,32536
1/15/2021,7795,1425197,386,32922
1/16/2021,7412,1432609,369,33291
1/17/2021,6055,1438664,142,33433
1/18/2021,3271,1441935,52,33485
1/19/2021,4835,1446770,291,33776
1/20/2021,6919,1453689,443,34219
1/21/2021,7152,1460841,419,34638
1/22/2021,6640,1467481,346,34984
1/23/2021,6322,1473803,346,35330
1/24/2021,4683,1478486,110,35440
1/25/2021,2419,1480905,38,35478
1/26/2021,4604,1485509,264,35742
1/27/2021,6789,1492298,389,36131
1/28/2021,7156,1499454,389,36520
1/29/2021,6144,1505598,336,36856
1/30/2021,5864,1511462,303,37159
1/31/2021,4706,1516168,98,37257
2/1/2021,2503,1518671,42,37299
2/2/2021,4326,1522997,253,37552
2/3/2021,6802,1529799,421,37973
2/4/2021,6496,1536295,444,38417
2/5/2021,6053,1542348,368,38785
2/6/2021,5965,1548313,283,39068
2/7/2021,4728,1553041,93,39161
2/8/2021,2431,1555472,45,39206
2/9/2021,4029,1559501,227,39433
