date,total_cases,new_cases,total_cases_per_million,new_cases_per_million,stringency_index,total_deaths,new_deaths,total_deaths_per_million,new_deaths_per_million,population_millions,refugees_total
3/3/2020,1,1,0.023,0.023,11.11,,,,,43.47826087,0
3/4/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/5/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/6/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/7/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/8/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/9/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/10/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/11/2020,1,0,0.023,0,11.11,,,,,43.47826087,0
3/12/2020,1,0,0.023,0,50,,,,,43.47826087,0
3/13/2020,3,2,0.069,0.046,50,1,1,0.023,0.023,43.47826087,0
3/14/2020,3,0,0.069,0,50,1,0,0.023,0,43.47826087,0
3/15/2020,3,0,0.069,0,50,1,0,0.023,0,43.47826087,0
3/16/2020,7,4,0.161,0.092,64.81,1,0,0.023,0,43.47826087,0
3/17/2020,14,7,0.322,0.161,77.78,2,1,0.046,0.023,43.47826087,0
3/18/2020,14,0,0.322,0,88.89,2,0,0.046,0,43.47826087,0
3/19/2020,16,2,0.368,0.046,88.89,2,0,0.046,0,43.47826087,0
3/20/2020,29,13,0.667,0.299,88.89,3,1,0.069,0.023,43.47826087,0
3/21/2020,47,18,1.081,0.414,88.89,3,0,0.069,0,43.47826087,0
3/22/2020,73,26,1.679,0.598,88.89,3,0,0.069,0,43.47826087,0
3/23/2020,73,0,1.679,0,88.89,3,0,0.069,0,43.47826087,0
3/24/2020,97,24,2.232,0.552,88.89,3,0,0.069,0,43.45878136,0
3/25/2020,145,48,3.336,1.104,88.89,5,2,0.115,0.046,43.46522782,0
3/26/2020,196,51,4.509,1.173,88.89,5,0,0.115,0,43.46861832,0
3/27/2020,310,114,7.132,2.623,88.89,5,0,0.115,0,43.46606842,0
3/28/2020,356,46,8.19,1.058,88.89,9,4,0.207,0.092,43.46764347,0
3/29/2020,475,119,10.928,2.738,88.89,10,1,0.23,0.023,43.46632504,0
3/30/2020,548,73,12.607,1.679,88.89,13,3,0.299,0.069,43.46791465,0
3/31/2020,645,97,14.839,2.232,88.89,17,4,0.391,0.092,43.46654087,0
4/1/2020,794,149,18.267,3.428,88.89,20,3,0.46,0.069,43.4663601,0
4/2/2020,897,103,20.636,2.37,88.89,22,2,0.506,0.046,43.4677263,0
4/3/2020,1072,175,24.662,4.026,88.89,27,5,0.621,0.115,43.46768308,0
4/4/2020,1225,153,28.182,3.52,88.89,32,5,0.736,0.115,43.4674615,0
4/5/2020,1308,83,30.092,1.91,88.89,37,5,0.851,0.115,43.46670211,0
4/6/2020,1319,11,30.345,0.253,88.89,38,1,0.874,0.023,43.46679848,0
4/7/2020,1462,143,33.635,3.29,88.89,45,7,1.035,0.161,43.46662703,0
4/8/2020,1668,206,38.374,4.739,88.89,52,7,1.196,0.161,43.46693073,0
4/9/2020,1892,224,43.527,5.153,88.89,57,5,1.311,0.115,43.46727319,0
4/10/2020,2203,311,50.682,7.155,88.89,69,12,1.587,0.276,43.46710864,0
4/11/2020,2511,308,57.768,7.086,88.89,73,4,1.679,0.092,43.46697133,0
4/12/2020,2777,266,63.888,6.12,88.89,83,10,1.91,0.23,43.46669171,0
4/13/2020,3102,325,71.365,7.477,88.89,93,10,2.14,0.23,43.46668535,0
4/14/2020,3372,270,77.576,6.212,88.89,98,5,2.255,0.115,43.46705167,0
4/15/2020,3764,392,86.595,9.018,88.89,108,10,2.485,0.23,43.46671286,0
4/16/2020,4161,397,95.728,9.133,88.89,116,8,2.669,0.184,43.46690623,0
4/17/2020,4662,501,107.254,11.526,88.89,125,9,2.876,0.207,43.46691033,0
4/18/2020,5106,444,117.469,10.215,88.89,133,8,3.06,0.184,43.46678698,0
4/19/2020,5449,343,125.36,7.891,88.89,141,8,3.244,0.184,43.46681557,0
4/20/2020,5710,261,131.365,6.005,88.89,151,10,3.474,0.23,43.46667682,0
4/21/2020,6125,415,140.912,9.548,88.89,161,10,3.704,0.23,43.46684456,0
4/22/2020,6592,467,151.656,10.744,88.89,174,13,4.003,0.299,43.46679327,0
4/23/2020,7170,578,164.953,13.297,88.89,187,13,4.302,0.299,43.46692694,0
4/24/2020,7647,477,175.927,10.974,88.89,201,14,4.624,0.322,43.46689252,0
4/25/2020,8125,478,186.924,10.997,88.89,201,0,4.624,0,43.46686354,0
4/26/2020,8617,492,198.243,11.319,88.89,209,8,4.808,0.184,43.46685633,0
4/27/2020,9009,392,207.262,9.018,88.89,220,11,5.061,0.253,43.46672328,0
4/28/2020,9410,401,216.487,9.225,88.89,239,19,5.498,0.437,43.46681325,0
4/29/2020,9866,456,226.978,10.491,88.89,250,11,5.752,0.253,43.4667677,0
4/30/2020,10406,540,239.401,12.423,88.89,261,11,6.005,0.253,43.46681927,0
5/1/2020,10861,455,249.869,10.468,88.89,272,11,6.258,0.253,43.46677659,0
5/2/2020,11411,550,262.522,12.653,88.89,279,7,6.419,0.161,43.46683326,0
5/3/2020,11913,502,274.071,11.549,88.89,288,9,6.626,0.207,43.46683888,0
5/4/2020,12331,418,283.688,9.617,88.89,303,15,6.971,0.345,43.46676631,0
5/5/2020,12697,366,292.108,8.42,88.89,316,13,7.27,0.299,43.46679995,0
5/6/2020,13184,487,303.312,11.204,88.89,327,11,7.523,0.253,43.46679327,0
5/7/2020,13691,507,314.976,11.664,88.89,340,13,7.822,0.299,43.46680382,0
5/8/2020,14195,504,326.571,11.595,88.89,361,21,8.305,0.483,43.4668112,0
5/9/2020,14710,515,338.419,11.848,88.89,376,15,8.65,0.345,43.46682663,0
5/10/2020,15232,522,350.428,12.009,88.89,391,15,8.995,0.345,43.46684626,0
5/11/2020,15648,416,359.999,9.571,88.89,408,17,9.386,0.391,43.46678741,0
5/12/2020,16023,375,368.626,8.627,88.89,425,17,9.778,0.391,43.46682003,0
5/13/2020,16425,402,377.874,9.248,88.89,439,14,10.1,0.322,43.46686991,0
5/14/2020,16847,422,387.583,9.709,88.89,456,17,10.491,0.391,43.46681872,0
5/15/2020,17330,483,398.695,11.112,88.89,476,20,10.951,0.46,43.46681047,0
5/16/2020,17858,528,410.842,12.147,88.89,497,21,11.434,0.483,43.46683153,0
5/17/2020,18291,433,420.804,9.962,88.89,514,17,11.825,0.391,43.46679214,0
5/18/2020,18616,325,428.281,7.477,88.89,535,21,12.308,0.483,43.46678933,0
5/19/2020,18876,260,434.262,5.982,88.89,548,13,12.607,0.299,43.4668472,0
5/20/2020,19230,354,442.406,8.144,88.89,564,16,12.975,0.368,43.46686076,0
5/21/2020,19706,476,453.357,10.951,88.89,579,15,13.321,0.345,43.46684842,0
5/22/2020,20148,442,463.526,10.169,83.33,588,9,13.528,0.207,43.4668174,0
5/23/2020,20580,432,473.465,9.939,83.33,605,17,13.919,0.391,43.46678213,0
5/24/2020,20986,406,482.805,9.34,83.33,617,12,14.195,0.276,43.46682408,0
5/25/2020,21245,259,488.764,5.959,83.33,623,6,14.333,0.138,43.46678561,0
5/26/2020,21584,339,496.563,7.799,83.33,644,21,14.816,0.483,43.46679072,0
5/27/2020,21905,321,503.948,7.385,83.33,658,14,15.138,0.322,43.46678626,0
5/28/2020,22382,477,514.921,10.974,83.33,669,11,15.391,0.253,43.46686191,0
5/29/2020,22811,429,524.791,9.87,83.33,679,10,15.621,0.23,43.46682775,0
5/30/2020,23204,393,533.832,9.041,83.33,696,17,16.012,0.391,43.46685849,0
5/31/2020,23672,468,544.599,10.767,83.33,708,12,16.288,0.276,43.46684441,0
6/1/2020,24562,890,565.075,20.475,76.39,724,16,16.656,0.368,43.46679644,0
6/2/2020,24895,333,572.736,7.661,76.39,733,9,16.863,0.207,43.46679797,0
6/3/2020,25385,490,584.009,11.273,76.39,742,9,17.07,0.207,43.46679589,0
6/4/2020,25981,596,597.72,13.712,76.39,755,13,17.37,0.299,43.46684066,0
6/5/2020,26542,561,610.627,12.906,76.39,770,15,17.715,0.345,43.46679724,0
6/6/2020,27101,559,623.487,12.86,76.39,785,15,18.06,0.345,43.46682449,0
6/7/2020,27599,498,634.944,11.457,76.39,796,11,18.313,0.253,43.46682542,0
6/8/2020,28077,478,645.941,10.997,76.39,805,9,18.52,0.207,43.46681818,0
6/9/2020,28479,402,655.189,9.248,76.39,818,13,18.819,0.299,43.46684697,0
6/10/2020,29015,536,667.521,12.331,76.39,841,23,19.348,0.529,43.4667973,0
6/11/2020,29706,691,683.418,15.897,76.39,864,23,19.877,0.529,43.46680948,0
6/12/2020,30415,709,699.729,16.311,76.39,880,16,20.245,0.368,43.46682787,0
6/13/2020,31177,762,717.26,17.531,76.39,890,10,20.475,0.23,43.46680423,0
6/14/2020,31851,674,732.766,15.506,76.39,899,9,20.682,0.207,43.46680932,0
6/15/2020,32536,685,748.525,15.759,68.06,911,12,20.959,0.276,43.46681808,0
6/16/2020,33209,673,764.008,15.483,68.06,922,11,21.212,0.253,43.46682234,0
6/17/2020,33986,777,781.884,17.876,68.06,953,31,21.925,0.713,43.46680582,0
6/18/2020,34833,847,801.37,19.486,68.06,976,23,22.454,0.529,43.46681308,0
6/19/2020,35755,922,822.581,21.212,68.06,995,19,22.891,0.437,43.46684399,0
6/20/2020,36615,860,842.367,19.785,68.06,1004,9,23.098,0.207,43.46680247,0
6/21/2020,37361,746,859.529,17.163,68.06,1012,8,23.282,0.184,43.46682893,0
6/22/2020,38056,695,875.518,15.989,41.67,1022,10,23.512,0.23,43.46683906,0
6/23/2020,38901,845,894.958,19.44,41.67,1045,23,24.041,0.529,43.46684425,0
6/24/2020,39852,951,916.837,21.879,41.67,1061,16,24.409,0.368,43.46683216,0
6/25/2020,40854,1002,939.889,23.052,41.67,1078,17,24.801,0.391,43.46683491,0
6/26/2020,41975,1121,965.679,25.79,41.67,1097,19,25.238,0.437,43.4668249,0
6/27/2020,42932,957,987.696,22.017,41.67,1121,24,25.79,0.552,43.4668157,0
6/28/2020,43856,924,1008.953,21.258,41.67,1142,21,26.273,0.483,43.46684137,0
6/29/2020,44538,682,1024.644,15.69,41.67,1161,19,26.71,0.437,43.46680408,0
6/30/2020,45254,716,1041.116,16.472,41.67,1173,12,26.986,0.276,43.4668183,0
7/1/2020,45924,670,1056.53,15.414,41.67,1188,15,27.331,0.345,43.46682063,0
7/2/2020,46821,897,1077.166,20.636,41.67,1200,12,27.607,0.276,43.46683798,0
7/3/2020,47705,884,1097.504,20.337,41.67,1227,27,28.228,0.621,43.46681197,0
7/4/2020,48628,923,1118.738,21.235,41.67,1243,16,28.597,0.368,43.46683495,0
7/5/2020,49468,840,1138.063,19.325,41.67,1265,22,29.103,0.506,43.46683795,0
7/6/2020,50053,585,1151.522,13.459,41.67,1278,13,29.402,0.299,43.46682043,0
7/7/2020,50622,569,1164.612,13.09,41.67,1299,21,29.885,0.483,43.46683702,0
7/8/2020,51457,835,1183.822,19.21,41.67,1323,24,30.437,0.552,43.46683876,0
7/9/2020,52285,828,1202.871,19.049,41.67,1344,21,30.92,0.483,43.46683892,0
7/10/2020,53116,831,1221.989,19.118,41.67,1362,18,31.334,0.414,43.46683972,0
7/11/2020,53941,825,1240.969,18.98,41.67,1389,27,31.955,0.621,43.46683922,0
7/12/2020,54647,706,1257.212,16.242,41.67,1400,11,32.208,0.253,43.46681387,0
7/13/2020,55285,638,1271.89,14.678,41.67,1415,15,32.554,0.345,43.46680924,0
7/14/2020,55931,646,1286.752,14.862,41.67,1429,14,32.876,0.322,43.46680635,0
7/15/2020,56779,848,1306.261,19.509,41.67,1444,15,33.221,0.345,43.466811,0
7/16/2020,57640,861,1326.069,19.808,41.67,1462,18,33.635,0.414,43.46681809,0
7/17/2020,58466,826,1345.072,19.003,41.67,1473,11,33.888,0.253,43.46681813,0
7/18/2020,59333,867,1365.018,19.946,41.67,1496,23,34.417,0.529,43.46682608,0
7/19/2020,60077,744,1382.135,17.117,41.67,1504,8,34.601,0.184,43.46681041,0
7/20/2020,60767,690,1398.009,15.874,41.67,1517,13,34.9,0.299,43.46681602,0
7/21/2020,61454,687,1413.814,15.805,41.67,1537,20,35.36,0.46,43.46682095,0
7/22/2020,62295,841,1433.162,19.348,41.67,1553,16,35.728,0.368,43.46682371,0
7/23/2020,63169,874,1453.269,20.107,41.67,1570,17,36.12,0.391,43.46683236,0
7/24/2020,64173,1004,1476.367,23.098,41.67,1591,21,36.603,0.483,43.46683447,0
7/25/2020,65317,1144,1502.686,26.319,41.67,1610,19,37.04,0.437,43.46683206,0
7/26/2020,66261,944,1524.404,21.718,41.67,1625,15,37.385,0.345,43.46682376,0
7/27/2020,67096,835,1543.614,19.21,41.67,1636,11,37.638,0.253,43.46682526,0
7/28/2020,68030,934,1565.102,21.488,41.67,1650,14,37.96,0.322,43.46681558,0
7/29/2020,69078,1048,1589.212,24.11,41.67,1673,23,38.489,0.529,43.46682507,0
7/30/2020,70300,1222,1617.326,28.113,41.67,1697,24,39.041,0.552,43.46680879,0
7/31/2020,71404,1104,1642.724,25.399,41.67,1717,20,39.501,0.46,43.46682705,0
8/1/2020,72609,1205,1670.446,27.722,48.61,1733,16,39.869,0.368,43.46683461,0
8/2/2020,73761,1152,1696.949,26.503,48.61,1749,16,40.238,0.368,43.46683371,0
8/3/2020,74781,1020,1720.416,23.466,57.87,1762,13,40.537,0.299,43.46681268,0
8/4/2020,75880,1099,1745.699,25.284,57.87,1788,26,41.135,0.598,43.46682905,0
8/5/2020,77169,1289,1775.354,29.655,57.87,1813,25,41.71,0.575,43.46682408,0
8/6/2020,78515,1346,1806.32,30.966,57.87,1846,33,42.469,0.759,43.46682758,0
8/7/2020,80018,1503,1840.898,34.578,57.87,1879,33,43.228,0.759,43.46682978,0
8/8/2020,81534,1516,1875.776,34.877,57.87,1906,27,43.85,0.621,43.46681054,0
8/9/2020,82767,1233,1904.142,28.366,57.87,1925,19,44.287,0.437,43.46682128,0
8/10/2020,83812,1045,1928.183,24.041,57.87,1950,25,44.862,0.575,43.46682862,0
8/11/2020,85023,1211,1956.044,27.86,57.87,1979,29,45.529,0.667,43.46681363,0
8/12/2020,86504,1481,1990.116,34.072,57.87,1999,20,45.989,0.46,43.46681299,0
8/13/2020,88136,1632,2027.661,37.546,57.87,2023,24,46.541,0.552,43.46683198,0
8/14/2020,89917,1781,2068.635,40.974,57.87,2042,19,46.978,0.437,43.46682716,0
8/15/2020,91795,1878,2111.841,43.205,57.87,2076,34,47.761,0.782,43.46681403,0
