date,new_cases,Cumulative_cases,new_deaths,Cumulative_deaths
3/3/2020,1,1,0,0
3/4/2020,0,1,0,0
3/5/2020,0,1,0,0
3/6/2020,0,1,0,0
3/7/2020,0,1,0,0
3/8/2020,0,1,0,0
3/9/2020,0,1,0,0
3/10/2020,0,1,0,0
3/11/2020,0,1,0,0
3/12/2020,0,1,0,0
3/13/2020,2,3,0,0
3/14/2020,0,3,1,1
3/15/2020,0,3,0,1
3/16/2020,0,3,0,1
3/17/2020,0,3,0,1
3/18/2020,11,14,1,2
3/19/2020,2,16,0,2
3/20/2020,0,16,0,2
3/21/2020,31,47,1,3
3/22/2020,0,47,0,3
3/23/2020,26,73,0,3
3/24/2020,11,84,0,3
3/25/2020,29,113,1,4
3/26/2020,43,156,1,5
3/27/2020,62,218,0,5
3/28/2020,93,311,3,8
3/29/2020,107,418,1,9
3/30/2020,62,480,2,11
3/31/2020,69,549,2,13
4/1/2020,120,669,4,17
4/2/2020,135,804,3,20
4/3/2020,183,987,3,23
4/4/2020,109,1096,5,28
4/5/2020,155,1251,4,32
4/6/2020,68,1319,6,38
4/7/2020,143,1462,7,45
4/8/2020,206,1668,7,52
4/9/2020,224,1892,5,57
4/10/2020,311,2203,12,69
4/11/2020,308,2511,4,73
4/12/2020,266,2777,10,83
4/13/2020,325,3102,10,93
4/14/2020,270,3372,5,98
4/15/2020,392,3764,10,108
4/16/2020,398,4162,7,115
4/17/2020,500,4662,10,125
4/18/2020,444,5106,8,133
4/19/2020,343,5449,8,141
4/20/2020,261,5710,10,151
4/21/2020,415,6125,10,161
4/22/2020,467,6592,13,174
4/23/2020,578,7170,13,187
4/24/2020,477,7647,6,193
4/25/2020,478,8125,8,201
4/26/2020,492,8617,8,209
4/27/2020,392,9009,11,220
4/28/2020,401,9410,19,239
4/29/2020,456,9866,11,250
4/30/2020,540,10406,11,261
5/1/2020,455,10861,11,272
5/2/2020,550,11411,7,279
5/3/2020,502,11913,9,288
5/4/2020,418,12331,15,303
5/5/2020,366,12697,13,316
5/6/2020,487,13184,11,327
5/7/2020,507,13691,13,340
5/8/2020,504,14195,21,361
5/9/2020,515,14710,15,376
5/10/2020,522,15232,15,391
5/11/2020,416,15648,17,408
5/12/2020,375,16023,17,425
5/13/2020,402,16425,14,439
5/14/2020,422,16847,17,456
5/15/2020,483,17330,20,476
5/16/2020,528,17858,21,497
5/17/2020,433,18291,17,514
5/18/2020,325,18616,21,535
5/19/2020,260,18876,13,548
5/20/2020,354,19230,16,564
5/21/2020,476,19706,15,579
5/22/2020,442,20148,9,588
5/23/2020,432,20580,17,605
5/24/2020,406,20986,12,617
5/25/2020,259,21245,6,623
5/26/2020,339,21584,21,644
5/27/2020,321,21905,14,658
5/28/2020,477,22382,11,669
5/29/2020,429,22811,10,679
5/30/2020,393,23204,17,696
5/31/2020,468,23672,12,708
6/1/2020,340,24012,10,718
6/2/2020,328,24340,9,727
6/3/2020,483,24823,8,735
6/4/2020,588,25411,13,748
6/5/2020,553,25964,14,762
6/6/2020,550,26514,15,777
6/7/2020,485,26999,11,788
6/8/2020,463,27462,9,797
6/9/2020,394,27856,13,810
6/10/2020,525,28381,23,833
6/11/2020,689,29070,21,854
6/12/2020,683,29753,16,870
6/13/2020,753,30506,10,880
6/14/2020,648,31154,9,889
6/15/2020,656,31810,12,901
6/16/2020,666,32476,12,913
6/17/2020,758,33234,30,943
6/18/2020,829,34063,23,966
6/19/2020,921,34984,19,985
6/20/2020,841,35825,9,994
6/21/2020,735,36560,8,1002
6/22/2020,681,37241,10,1012
6/23/2020,833,38074,23,1035
6/24/2020,940,39014,16,1051
6/25/2020,994,40008,16,1067
6/26/2020,1109,41117,19,1086
6/27/2020,948,42065,24,1110
6/28/2020,917,42982,19,1129
6/29/2020,646,43628,18,1147
6/30/2020,706,44334,12,1159
7/1/2020,664,44998,14,1173
7/2/2020,890,45888,12,1185
7/3/2020,875,46763,27,1212
7/4/2020,914,47677,15,1227
7/5/2020,823,48500,22,1249
7/6/2020,543,49043,13,1262
7/7/2020,564,49607,21,1283
7/8/2020,807,50414,24,1307
7/9/2020,810,51224,20,1327
7/10/2020,819,52043,18,1345
7/11/2020,800,52843,27,1372
7/12/2020,678,53521,11,1383
