date,total_cases,new_cases,total_cases_per_million,new_cases_per_million,stringency_index,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,total_deaths,new_deaths,total_deaths_per_million,new_deaths_per_million,reproduction_rate,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,total_tests,total_tests_per_thousand,tests_units,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
2020-03-04,1,1,0.026,0.026,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-05,1,0,0.026,0,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-06,5,4,0.131,0.104,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-07,5,0,0.131,0,11.11,,,,,,,,,,,,,,,,,,,,,
2020-03-08,11,6,0.287,0.157,11.11,,,,,,,,,,-6305.6,-7.01,-6.3,,,,,,,,,
2020-03-09,16,5,0.418,0.131,13.89,2.286,,0.06,,,,,,,,,,,,,,,,,,
2020-03-10,22,6,0.574,0.157,25,3.143,,0.082,,,,,,,,,,,,,,,,,,
2020-03-11,31,9,0.809,0.235,25,4.286,,0.112,,,,,,,,,,,,,,,,,,
2020-03-12,49,18,1.279,0.47,41.67,6.857,,0.179,,1,1,0.026,0.026,,,,,603,0.016,tests performed,,,,,,
2020-03-13,68,19,1.775,0.496,41.67,9,,0.235,,2,1,0.052,0.026,,,,,,,tests performed,,,,,,
2020-03-14,103,35,2.689,0.914,49.07,14,,0.365,,3,1,0.078,0.026,,,,,,,tests performed,,,,,,
2020-03-15,119,16,3.106,0.418,57.41,15.429,,0.403,,3,0,0.078,0,2.47,-6600.5,-6.69,-3.39,,,tests performed,,,,,,
2020-03-16,177,58,4.62,1.514,57.41,23,,0.6,,4,1,0.104,0.026,2.52,,,,,,tests performed,,,,,,
2020-03-17,238,61,6.213,1.592,57.41,30.857,0.714,0.806,0.019,5,1,0.131,0.026,2.47,,,,,,tests performed,,,,,,
2020-03-18,251,13,6.552,0.339,57.41,31.429,0.714,0.82,0.019,5,0,0.131,0,2.41,,,,,,tests performed,,,,,,
2020-03-19,355,104,9.267,2.715,57.41,43.714,0.571,1.141,0.015,5,0,0.131,0,2.43,,,,6438,0.17,tests performed,,,834,0.022,0.0524,19.1
2020-03-20,425,70,11.094,1.827,57.41,51,0.429,1.331,0.011,5,0,0.131,0,2.37,,,,,,tests performed,,,986,0.026,0.0517,19.3
2020-03-21,536,111,13.992,2.898,57.41,61.857,0.286,1.615,0.007,5,0,0.131,0,2.3,,,,,,tests performed,,,1139,0.03,0.0543,18.4
2020-03-22,634,98,16.55,2.558,57.41,73.571,0.571,1.921,0.015,7,2,0.183,0.052,2.24,-6851.2,-6.39,-2.92,,,tests performed,,,1292,0.034,0.0569,17.6
2020-03-23,749,115,19.552,3.002,57.41,81.714,0.571,2.133,0.015,8,1,0.209,0.026,2.14,,,,,,tests performed,,,1445,0.038,0.0565,17.7
2020-03-24,901,152,23.52,3.968,57.41,94.714,0.714,2.472,0.019,10,2,0.261,0.052,2.1,,,,,,tests performed,,,1598,0.042,0.0593,16.9
2020-03-25,1051,150,27.436,3.916,57.41,114.286,1.286,2.983,0.034,14,4,0.365,0.104,2.05,,,,,,tests performed,,,1751,0.046,0.0653,15.3
2020-03-26,1221,170,31.873,4.438,57.41,123.714,1.571,3.229,0.041,16,2,0.418,0.052,1.92,,,,19766,0.523,tests performed,,,1904,0.05,0.065,15.4
